Transaction_ID,Transaction_Date,Area,Property_Type,Property_Sub_Type,Property_Size_SqM,Transaction_Amount_AED,Rooms,Parking_Spaces,Transaction_Type,Source_Channel
DXB-100618,09-09-2023,Palm Jumeirah,Apartment,3 BR,57.3,1925315.0,3.0,1,Mortgage,DLD
DXB-100662,2023-05-30,Mirdif,Apartment,1 BR,433.1,5258295.0,1.0,3,Sale,DLD
DXB-101132,2025-03-06,Arabian Ranches,Apartment,2 BR,138.2,3365064.0,2.0,0,Sale,DLD
DXB-100211,2024-12-07,,Villa,6 BR,88.3,1898903.0,6.0,2,Mortgage,DLD
DXB-100602,2025-06-19,Jumeirah Village Circle,Hotel Apartment,Studio,52.7,"AED 505,183",0.0,3,Sale,DLD
DXB-101190,2023-11-25,Palm Jumeirah,Apartment,1 BR,133.8,2507350.0,1.0,2,Mortgage,DLD
DXB-100835,2023-08-03,Arabian Ranches,Villa,3 BR,183.1,5390353.0,3.0,3,Sale,DLD
DXB-101403,03/01/2025,Mirdif,Apartment,3 BR,119.5,"AED 1,907,395",3.0,3,Sale,Developer
DXB-101426,2023-11-20,Business Bay,Apartment ,2 BR,322.2,8862546.0,2.0,0,Sale,DLD
DXB-100400,2025-06-06,Deira,apartment,1 BR,88.4,824425.0,1.0,1,Mortgage,DLD
DXB-100581,2024-08-02,Jumeirah,Apartment ,2 BR,8000.0,85000000,2.0,1,Sale,DLD
DXB-100203,2024-04-25,Jumeirah Village Circle,Apartment,3 BR,220.6,"AED 663,064",3.0,3,Sale,Developer
DXB-100838,2023-04-30,Mirdif,Apartment,1 BR,52.5,,1.0,2,Sale,DLD
DXB-100512,2023-12-26,Downtown Dubai,Apartment,2 BR,91.8,3770999.0,2.0,1,Sale,Broker
DXB-100534,2024-03-22,Downtown Dubai,Apartment,Studio,38.8,782327.0,0.0,1,Sale,Developer
DXB-100935,2024-11-24,Deira,Apartment,3 BR,130.7,1531225.0,,0,Sale,DLD
DXB-100871,2023-07-18,Downtown Dubai,Apartment,2 BR,188.8,7258832.0,2.0,3,Sale,DLD
DXB-100997,2024-08-02,Deira,Apartment,1 BR,61.5,448373.0,1.0,2,Sale,Broker
DXB-100716,2024-11-28,Dubai Hills Estate,Villa,6 BR,113.1,2130218.0,,0,Sale,DLD
DXB-100819,2026-04-04,Bur Dubai,Apartment,Studio,99.7,1741876.0,0.0,3,Sale,Broker
DXB-101017,2024-10-03,Jumeirah village circle,Townhouse,4 BR,73.7,1032251.0,4.0,1,Sale,DLD
DXB-100365,2024-10-07,Jumeirah,Apartment,2 BR,86.2,1929240.0,2.0,0,Sale,Developer
DXB-101379,2025-05-10,Bur Dubai,APT,Studio,112.6,1575446.0,0.0,2,Sale,Broker
DXB-100234,2024-12-18,Dubai Silicon Oasis,Hotel Apartment,2 BR,78.2,"AED 1,312,158",2.0,1,Sale,DLD
DXB-100938,2023-04-05,Arabian Ranches,Penthouse,3 BR,62.5,1962426.0,3.0,2,Sale,Developer
DXB-100560,2024-04-12,Downtown Dubai,APT,2 BR,125.6,2910886.0,2.0,3,Sale,DLD
DXB-101416,2025-02-12,Al Barsha,apartment,1 BR,146.3,2348310.0,1.0,1,Sale,Developer
DXB-100889,2026-07-21,Deira,Villa,6 BR,106.2,1194972.0,6.0,3,Sale,DLD
DXB-100273,2024-05-26,Palm Jumeirah,VILLA,6 BR,143.1,5894671.0,6.0,2,Sale,DLD
DXB-101493,2024-10-17,Business Bay,Townhouse,3 BR,120.8,2557790.0,3.0,0,Sale,Developer
DXB-101337,2023-05-08,Jumeirah Lake Towers,Villa,3 BR,54.6,1543872.0,3.0,3,Sale,DLD
DXB-101383,2024-09-29,Dubai Silicon Oasis,Hotel Apartment,Studio,154.0,2302379.0,0.0,2,Sale,DLD
DXB-100576,18/06/2026,International City,Hotel Apartment,Studio,62.2,"AED 715,260",0.0,3,Sale,DLD
DXB-100086,2024-09-13,Jumeirah Village Circle,villa,3 BR,35.7,325844.0,3.0,2,Sale,Broker
DXB-101200,2024-04-01,Arabian Ranches,Villa,5 BR,105.7,3241288.0,5.0,2,Sale,Broker
DXB-100874,2023-10-04,International City,Villa,5 BR,120.0,1259910.0,5.0,0,Mortgage,DLD
DXB-100653,2023-01-04,Al Barsha,Apartment,2 BR,62.6,766716.0,2.0,3,Sale,Developer
DXB-100846,2023-11-10,Jumeirah,apartment,1 BR,39.0,1468142.0,1.0,3,Sale,DLD
DXB-101300,2024-03-04,Jumeirah Lake Towers,apartment,Studio,238.5,4555410.0,0.0,0,Mortgage,DLD
DXB-100852,2023-12-21,Downtown Dubai ,Penthouse,2 BR,56.3,2321643.0,2.0,1,Mortgage,Broker
DXB-100057,2024-07-29,Jumeirah Village Circle,Villa,6 BR,156.4,3636052.0,6.0,0,Sale,DLD
DXB-100074,2023-09-27,Dubai Silicon Oasis,Apartment,2 BR,197.0,1909703.0,2.0,0,Mortgage,DLD
DXB-100156,2026-02-03,Jumeirah,Apartment,Studio,187.4,4181274.0,0.0,0, Sale ,DLD
DXB-100389,2024-09-09,Arabian Ranches,Penthouse,3 BR,120.4,4800864.0,3.0,3,Mortgage,DLD
DXB-101444,2023-06-03,Jumeirah,APARTMENT,1 BR,102.2,2158832.0,1.0,1,Sale,Developer
DXB-101339,2023-05-12,Al Barsha,Apartment,2 BR,136.6,2182853.0,2.0,2,Sale,Developer
DXB-100338,2024-11-06,Deira,Apartment,3 BR,91.9,362830.0,3.0,0,Mortgage,Developer
DXB-100403,2025-05-28,Mirdif,Apartment,2 BR,96.0,617503.0,2.0,1,Sale,Broker
DXB-101334,2025-10-18,Bur Dubai,Hotel Apartment,Studio,132.7,2478664.0,0.0,0,Sale,DLD
DXB-100786,2025-11-14,Jumeirah village circle,TOWNHOUSE,2 BR,128.3,-1000000,2.0,0,Sale,DLD
DXB-101296,2024-03-09,Palm Jumeirah,Apartment,3 BR,180.9,3904328.0,3.0,1,Sale,DLD
DXB-101238,2023-02-03,Jumeirah,apartment,Studio,153.5,4241623.0,0.0,2,Mortgage,Broker
DXB-100495,2023-05-28,Al Barsha,Apartment,Studio,308.7,"AED 6,870,925",0.0,2,Sale,Broker
DXB-101131,2025-12-31,Bur Dubai,Apartment,2 BR,121.5,1199694.0,2.0,0,Sale,DLD
DXB-101072,2024-07-22,Deira,APT,Studio,92.8,829145.0,0.0,2,Sale,DLD
DXB-100500,2026-02-11,Dubai Marina ,Townhouse,2 BR,116.6,3124009.0,2.0,3,Sale,DLD
DXB-101283,2026-01-30,Palm Jumeirah,Villa,6 BR,213.8,7950433.0,6.0,0,Sale,Broker
DXB-101068,2024-10-30,Jumeirah,Apartment,1 BR,179.9,2011320.0,1.0,2,Sale,DLD
DXB-101398,2024-12-08,Downtown Dubai,Villa,5 BR,57.1,1927614.0,5.0,0,Sale,DLD
DXB-100678,05-31-2026,Dubai Silicon Oasis,Apartment,Studio,72.2,880747.0,0.0,0,Sale,DLD
DXB-101359,2023-04-20,Mirdif,Apartment,2 BR,68.3,787240.0,2.0,2,Mortgage,Developer
DXB-100478,2023-01-14,Palm Jumeirah,Villa,6 BR,36.1,1513378.0,6.0,0,Mortgage,DLD
DXB-100191,2024-07-22,Arabian Ranches,Apartment,Studio,125.6,3960584.0,0.0,3,Sale, Developer 
DXB-100559,2024-10-31,Al Barsha,APT,2 BR,94.2,1310916.0,2.0,0,Sale,DLD
DXB-101347,2025-07-15,Jumeirah Village Circle,Apartment,2 BR,238.6,3116857.0,2.0,0,Sale,DLD
DXB-100774,2025-07-30,Palm Jumeirah,apartment,2 BR,152.7,3709960.0,2.0,3,Mortgage,DLD
DXB-100350,2023-09-04,Jumeirah Village Circle,Villa,6 BR,225.3,3922494.0,6.0,0,Sale,DLD
DXB-100253,2025-01-18,Dubai Hills Estate,Apartment,3 BR,64.1,1057963.0,3.0,0,Sale,DLD
DXB-101125,2025-11-29,Al Barsha,Villa,5 BR,152.0,2421725.0,5.0,0,Sale,Broker
DXB-100669,2023-01-25,Business Bay,Apartment,Studio,51.2,1336022.0,0.0,2,Sale,Broker
DXB-100372,2025-05-31,Jumeirah Lake Towers,Apartment,Studio,146.0,1843007.0,0.0,2,Sale,DLD
DXB-100993,2025-05-13,Jumeirah Lake Towers,Apartment,Studio,169.8,2659975.0,0.0,1,Mortgage,DLD
DXB-100655,2024-12-03,Al Barsha,Apartment,3 BR,70.8,735133.0,3.0,2,Sale,DLD
DXB-101162,2025-11-17,Dubai Silicon Oasis,Townhouse,4 BR,41.7,612891.0,4.0,2,Mortgage,DLD
DXB-101013,2025-09-30,Al Barsha,Hotel Apartment,2 BR,225.7,2367063.0,2.0,1,Sale,DLD
DXB-101272,2026-03-28,Bur Dubai,Apartment,1 BR,95.4,1233926.0,1.0,2,Mortgage,DLD
DXB-100923,2025-02-25,Palm Jumeirah,Apartment,Studio,58.4,976354.0,0.0,0,Sale,DLD
DXB-101212,2024-10-22,Palm Jumeirah,Villa ,4 BR,39.9,747843.0,,2,Sale,DLD
DXB-100390,2023-04-02,Business Bay,Villa,6 BR,168.7,"AED 3,427,761",6.0,2,Sale,DLD
DXB-101367,2023-11-22,Jumeirah Village Circle,Apartment,3 BR,86.2,1068041.0,3.0,2,Mortgage,DLD
DXB-100717,2025-03-13,Business Bay,APT,2 BR,241.3,7026878.0,2.0,0,Sale,DLD
DXB-100921,2023-06-14,International City,town house,4 BR,115.6,1200211.0,4.0,3,Mortgage,DLD
DXB-101439,2025-01-13,Jumeirah Lake Towers,Hotel Apartment,Studio,58.9,1255624.0,0.0,1,Mortgage,DLD
DXB-101462,2023-04-28,Dubai Silicon Oasis,Apartment,3 BR,126.2,1546949.0,3.0,2,Sale,DLD
DXB-100992,2026-04-18,Jumeirah Village Circle,town house,2 BR,179.2,2227913.0,2.0,1,Sale,DLD
DXB-100032,2023-03-10,Dubai Silicon Oasis,Apartment,2 BR,45.6,670536.0,2.0,0,Sale,Broker
DXB-100798,2023-01-10,Dubai Marina,Villa,3 BR,161.7,2524559.0,3.0,2,Sale,DLD
DXB-100141,11-01-2025,Palm Jumeirah,Apartment,Studio,220.8,9021973.0,0.0,3,Mortgage,Developer
DXB-100504,2023-12-17,Dubai-Marina,Apartment,3 BR,116.2,1522254.0,3.0,1,Sale,Broker
DXB-100451,2024-10-30,Dubai Marina,Penthouse,2 BR,105.6,3561526.0,2.0,0,Mortgage,DLD
DXB-100405,2025-10-01,Dubai Hills Estate,Penthouse,3 BR,60.7,2588852.0,3.0,2,Mortgage,DLD
DXB-100201,2025-08-04,Bur Dubai,Hotel Apartment,Studio,82.3,1173136.0,0.0,1,Mortgage,DLD
DXB-100730,2025-07-25,Arabian Ranches,APARTMENT,Studio,130.7,"AED 2,947,893",0.0,1,Sale,Broker
DXB-100903,2023-02-05,,Apartment,2 BR,151.1,4076063.0,2.0,2,Mortgage,DLD
DXB-101010,2026-06-22,Dubai Hills Estate,Villa ,4 BR,161.8,4461638.0,4.0,0,Sale,Broker
DXB-100333,02-19-2023,Deira,Penthouse,2 BR,25.0,297223.0,2.0,3,Sale,DLD
DXB-101213,2025-03-06,Arabian Ranches,Apartment,2 BR,115.8,1553986.0,2.0,2,Mortgage,DLD
DXB-100667,2023-10-11,JVC,Hotel Apartment,Studio,187.3,2216846.0,0.0,0,Sale, DLD 
DXB-100224,2025-08-05,International City,Apartment,1 BR,95.1,958083.0,1.0,2,Sale,Broker
DXB-100944,2023-02-27,downtown dubai,Apartment,1 BR,131.1,3368163.0,1.0,2,Sale,DLD
DXB-100570,2023-07-02,Jumeirah,Apartment,3 BR,57.1,1593058.0,3.0,2,Sale,DLD
DXB-100636,2024-05-20,Dubai Silicon Oasis,Villa,4 BR,175.6,3415347.0,4.0,3,Sale,Developer
DXB-100382,2023-07-30,Mirdif,Townhouse,3 BR,176.7,987369.0,3.0,2,Sale,DLD
DXB-101178,2025-08-20,Palm Jumeirah,APT,2 BR,149.5,4005636.0,2.0,1,Sale, Broker 
DXB-100536,2024-07-05,Dubai Marina,Apartment,3 BR,184.0,4491478.0,3.0,3,Mortgage,DLD
DXB-101427,02-07-2026,Al Barsha,APT,2 BR,133.5,2811061.0,2.0,1,Sale,DLD
DXB-100442,2026-06-05,Palm Jumeirah,TOWNHOUSE,4 BR,78.7,,4.0,1,Sale,DLD
DXB-100285,2023-09-19,Al Barsha,apartment,1 BR,375.7,6523614.0,1.0,2,Sale,DLD
DXB-101216,28/12/2024,Al Barsha,APT,Studio,5000.0,45000000,0.0,3,Sale,Broker
DXB-100895,2023-10-22,Bur Dubai,Penthouse,2 BR,125.1,2339271.0,2.0,0,Mortgage,DLD
DXB-100910,2024-07-21,Business Bay,Townhouse,2 BR,304.2,3275737.0,2.0,0,Mortgage,Broker
DXB-101285,2025-04-17,Jumeirah,Hotel Apartment,1 BR,283.0,9697700.0,1.0,3,Sale,DLD
DXB-101051,2023-06-03,Dubai Hills Estate,Apartment,1 BR,70.6,2061907.0,1.0,0,Mortgage,Developer
DXB-101370,2023-12-22,Dubai Silicon Oasis,Apartment ,3 BR,79.3,1314935.0,3.0,2,Sale,Broker
DXB-100342,04-25-2025,Downtown Dubai ,Townhouse,2 BR,59.0,2037360.0,,2,Mortgage,DLD
DXB-100383,2025-12-08,Bur Dubai,Apartment,Studio,100.6,1810345.0,0.0,0,Mortgage,Developer
DXB-101235,2025-12-31,Dubai-Marina,APT,2 BR,104.4,1969191.0,2.0,0,Mortgage,DLD
DXB-100598,10/05/2025,Jumeirah Lake Towers,Hotel Apartment,2 BR,99.2,2440272.0,2.0,3,Sale,DLD
DXB-101289,2024-06-10,Jumeirah Lake Towers,Villa,6 BR,664.5,14503390.0,,0,Sale,DLD
DXB-100894,24/04/2026,International City,Townhouse,3 BR,124.8,1033203.0,3.0,3,Sale,Broker
DXB-100886,2024-03-31,downtown dubai,Apartment,Studio,,"AED 2,765,006",0.0,2,Sale,DLD
DXB-100014,2025-06-04,Al Barsha,Apartment,3 BR,138.7,2257797.0,3.0,3,Sale,Broker
DXB-100126,2023-08-06,Deira,Apartment ,Studio,92.4,741355.0,0.0,1,Sale,DLD
DXB-101156,2024-01-25,Arabian Ranches,APT,3 BR,166.5,"AED 2,704,014",3.0,0,Sale,DLD
DXB-100172,2026-05-18,Palm Jumeirah,APT,Studio,112.7,3824597.0,0.0,2,Sale,DLD
DXB-100547,2025-07-11,Bur Dubai,apartment,2 BR,83.6,1173321.0,2.0,0,Sale,Broker
DXB-101189,2024-05-07,Bur Dubai,Villa,3 BR,63.4,1040247.0,3.0,0,Sale,DLD
DXB-101136,2025-09-12,Mirdif,Apartment,1 BR,32.5,441832.0,1.0,3,Mortgage,DLD
DXB-100674,2024-10-15,International City,Villa ,3 BR,246.5,2539863.0,3.0,1,Sale,Developer
DXB-101440,11-11-2024,JLT,APARTMENT,1 BR,291.3,5536512.0,1.0,1,Sale,DLD
DXB-100329,2025-05-07,,Apartment,1 BR,131.9,1735994.0,1.0,0,Sale,DLD
DXB-100523,27/03/2024,Jumeirah Village Circle,Villa,4 BR,125.2,2061951.0,4.0,1,Mortgage,DLD
DXB-101313,2026-02-17,Downtown Dubai,Apartment,3 BR,123.8,1883514.0,3.0,2,Sale,DLD
DXB-101041,2023-11-24,International City,Villa,3 BR,76.1,924704.0,,1,Sale,DLD
DXB-100260,2024-06-02,Palm Jumeirah,Apartment,3 BR,57.4,1514254.0,3.0,1,Sale,DLD
DXB-101270,2025-04-08,Jumeirah,Hotel Apartment,Studio,352.9,9653289.0,0.0,0,Mortgage,DLD
DXB-100386,2023-08-14,Jumeirah,villa,5 BR,168.3,3196969.0,5.0,0,Sale,DLD
DXB-100287,2024-08-07,Business Bay,Apartment,Studio,241.0,1564439.0,0.0,2,Sale,DLD
DXB-100681,08-25-2024,Dubai-Marina,apartment,3 BR,39.7,,3.0,2,Sale,DLD
DXB-100160,2025-01-04,Downtown Dubai,Apartment,3 BR,71.4,1846289.0,3.0,1,Mortgage,DLD
DXB-100131,2023-07-29,Palm Jumeirah,Hotel Apartment,Studio,93.7,3689585.0,0.0,1,Sale,DLD
DXB-101046,2023-04-19,Palm Jumeirah,APT,Studio,168.4,4111686.0,0.0,1,Sale,DLD
DXB-100351,2023-10-02,Mirdif,Apartment,2 BR,73.2,964792.0,2.0,3,Sale,DLD
DXB-100824,2024-09-06,Dubai Silicon Oasis,Townhouse,4 BR,54.6,512407.0,4.0,3,Sale,DLD
DXB-100831,2025-06-09,Business Bay,Villa ,6 BR,8000.0,85000000,6.0,1,Sale,Broker
DXB-100282,2024-04-09,Mirdif,Apartment,1 BR,142.1,2595033.0,1.0,3,Mortgage,DLD
DXB-100062,2023-01-04,Dubai Hills Estate,VILLA,3 BR,72.1,1323217.0,3.0,0,Sale,DLD
DXB-100859,2023-02-24,Palm Jumeirah,Apartment,1 BR,89.5,-500000,1.0,0,Mortgage,DLD
DXB-100356,2024-01-31,Dubai Marina,Townhouse,4 BR,62.4,1687690.0,4.0,0,Sale,DLD
DXB-101260,2024-08-08,Business Bay,Apartment,Studio,63.3,1781124.0,0.0,2,Sale,DLD
DXB-101255,2023-06-13,Jumeirah Lake Towers,Penthouse,3 BR,73.7,2162874.0,3.0,2,Sale,Broker
DXB-100044,2023-01-31,Jumeirah Village Circle,Townhouse,3 BR,102.6,1317177.0,3.0,2,Sale,DLD
DXB-100680,2023-05-09,Arabian Ranches,Apartment,3 BR,85.2,"AED 2,206,247",3.0,1,Mortgage,Broker
DXB-100336,2023-07-11,Al Barsha,Apartment,Studio,70.1,1590116.0,0.0,3,Sale,DLD
DXB-100182,2025-09-11,Jumeirah,Apartment,2 BR,166.0,5918075.0,2.0,0,Sale,DLD
DXB-100616,2025-03-29,Dubai Marina ,Townhouse,2 BR,150.3,4455863.0,2.0,0,Sale,Broker
DXB-100443,2025-05-12,Business Bay,APARTMENT,3 BR,155.1,"AED 3,962,621",3.0,1,Sale,DLD
DXB-100028,2025-07-04,Business Bay,Apartment,1 BR,108.3,2211896.0,1.0,2,Mortgage,Broker
DXB-101450,2024-03-01,Deira,Townhouse,3 BR,75.1,908798.0,3.0,2,Mortgage,Developer
DXB-100300,2026-02-17,International City,Townhouse,3 BR,177.4,811067.0,3.0,2,Sale,Developer
DXB-101333,2023-03-23,Bur Dubai,Hotel Apartment,Studio,70.8,821944.0,0.0,3, Sale ,DLD
DXB-100119,2023-11-27,Bur Dubai,Villa,6 BR,66.9,779608.0,6.0,3,Sale,DLD
DXB-100644,29-Jan-2023,Mirdif,Villa,5 BR,121.8,1847056.0,5.0,1,Sale,Broker
DXB-100880,2025-05-02,Deira,Apartment ,Studio,96.1,1074539.0,0.0,3,Mortgage,Broker
DXB-100640,08-Sep-2024,Arabian Ranches,Townhouse,3 BR,105.7,2231062.0,3.0,0,Mortgage,DLD
DXB-101382,2024-04-26,Dubai Hills Estate,Apartment,3 BR,106.8,2327210.0,3.0,1,Sale,DLD
DXB-100529,2026-03-14,Downtown Dubai ,Apartment,Studio,53.3,1581705.0,0.0,1,Sale,Developer
DXB-101234,2026-03-27,Business Bay,APT,2 BR,62.6,,2.0,2,Mortgage,DLD
DXB-101402,15/03/2023,Dubai Hills Estate,Hotel Apartment,Studio,68.7,911098.0,0.0,2,Sale,DLD
DXB-100828,2024-05-01,Arabian Ranches,Penthouse,2 BR,166.9,5965944.0,2.0,3,Mortgage,DLD
DXB-100107,2023-06-06,Dubai Hills Estate,Apartment,1 BR,219.8,6753651.0,1.0,0,Mortgage,Developer
DXB-100724,2026-03-12,Dubai Marina,Apartment,2 BR,315.3,7972042.0,2.0,1,Sale,DLD
DXB-100006,2023-05-24,Dubai Silicon Oasis,Townhouse,2 BR,72.8,752291.0,2.0,0,Sale,DLD
DXB-101304,2023-07-12,Arabian Ranches,Townhouse,2 BR,124.5,3290464.0,2.0,1,Mortgage,Broker
DXB-100261,2024-06-13,Al Barsha,Townhouse,4 BR,103.2,1702318.0,4.0,1,Sale,DLD
DXB-100569,2024-04-11,Business Bay,Apartment,3 BR,156.0,2666786.0,3.0,3,Sale,DLD
DXB-100146,2025-12-29,International City,Apartment,2 BR,195.7,2306000.0,2.0,2,Sale,DLD
DXB-100948,2024-01-30,Mirdif,Penthouse,3 BR,238.3,3473910.0,3.0,0,Sale,DLD
DXB-101453,2024-10-22,Arabian Ranches,Hotel Apartment,1 BR,94.1,2397200.0,1.0,1,Sale,DLD
DXB-101052,2026-08-29,Jumeirah,Apartment,2 BR,78.1,2359713.0,2.0,2,Sale,DLD
DXB-100579,2024-04-25,Downtown Dubai,APARTMENT,2 BR,77.9,1406448.0,2.0,3,Mortgage,Broker
DXB-101341,2025-03-28,Palm Jumeirah,Townhouse ,4 BR,136.5,7590738.0,4.0,1,Sale, DLD 
DXB-100233,2023-09-18,Dubai Marina ,VILLA,4 BR,67.9,2329811.0,4.0,2,Sale,DLD
DXB-100012,2023-06-06,Dubai Marina,Villa,3 BR,,-1000000,3.0,0,Sale,DLD
DXB-100129,2023-09-11,Jumeirah,VILLA,4 BR,428.2,13397253.0,4.0,2,Sale,Broker
DXB-101305,2025-10-03,Jumeirah,Hotel Apartment,Studio,105.3,1589303.0,0.0,1,Mortgage,DLD
DXB-100623,2023-06-21,Palm Jumeirah,Apartment,2 BR,97.9,2955662.0,2.0,0,Sale,DLD
DXB-100907,2023-04-22,Mirdif,Apartment,3 BR,51.4,697465.0,,2,Sale,DLD
DXB-100152,2023-09-25,Jumeirah Village Circle,Apartment,1 BR,165.1,2588987.0,1.0,2,Sale,Broker
DXB-100766,2023-05-03,Arabian Ranches,Apartment,2 BR,56.0,1143184.0,2.0,1,Sale,DLD
DXB-100385,2023-02-19,Business Bay,Hotel Apartment,Studio,205.3,"AED 5,255,906",0.0,0,Sale,DLD
DXB-100063,2023-06-23,Downtown Dubai,Townhouse ,2 BR,56.5,"AED 1,457,156",2.0,1,Sale,DLD
DXB-100951,2023-11-18,Business Bay,Apartment,2 BR,72.6,2076721.0,2.0,2,Sale,DLD
DXB-100208,2023-01-31,Palm Jumeirah,Apartment,3 BR,582.6,15980896.0,3.0,2,Sale,DLD
DXB-101496,2025-10-25,Jumeirah Lake Towers,Penthouse,4 BR,48.3,1285376.0,4.0,0,Sale,DLD
DXB-100463,2026-02-10,dubai marina,Apartment,Studio,66.9,1736548.0,0.0,0,Mortgage,DLD
DXB-100791,2025-03-24,Jumeirah Village Circle,Apartment,3 BR,,1829136.0,3.0,0,Mortgage,Broker
DXB-100648,2026-03-20,Mirdif,Villa,4 BR,340.4,4263396.0,4.0,0,Sale,DLD
DXB-100158,2023-10-09,Arabian Ranches,Villa,4 BR,76.3,2627773.0,4.0,2,Mortgage,DLD
DXB-100453,2024-11-29,Dubai Hills Estate,Apartment,Studio,108.5,2785554.0,0.0,1,Sale,DLD
DXB-101365,2024-07-07,Deira,Apartment,2 BR,276.6,2608709.0,2.0,2,Sale,DLD
DXB-101070,2024-07-05,Downtown Dubai,Penthouse,4 BR,376.7,11554791.0,4.0,2,Sale,DLD
DXB-100961,2026-02-17,Deira,Apartment,Studio,155.3,"AED 1,947,522",0.0,0,Mortgage,DLD
DXB-100144,2025-09-09,Jumeirah,Apartment,Studio,42.6,419119.0,0.0,3,Sale,Developer
DXB-101007,2026-07-09,International City,Apartment,Studio,117.1,1157618.0,0.0,1,Sale,Developer
DXB-100568,2025-01-27,Jumeirah,Apartment,Studio,227.5,5303762.0,0.0,3,Sale,Developer
DXB-100076,2025-01-17,Downtown Dubai,Apartment ,Studio,165.1,5303596.0,0.0,1,Sale,DLD
DXB-101161,2025-03-14,Dubai Hills Estate,VILLA,3 BR,148.9,4640719.0,3.0,3,Sale,DLD
DXB-100530,2026-08-26,Dubai Hills Estate,Villa,4 BR,51.4,1261096.0,4.0,2,Sale,DLD
DXB-100308,2024-09-09,Dubai Marina,Apartment,1 BR,68.8,"AED 1,504,673",1.0,2,Sale,DLD
DXB-101267,2023-07-30,Bur Dubai,Hotel Apartment,Studio,70.5,"AED 867,044",0.0,2,Sale,Developer
DXB-100752,2026-05-21,,Apartment,2 BR,127.4,1745617.0,2.0,3,Mortgage,DLD
DXB-101362,2024-01-27,Al Barsha,Villa ,5 BR,140.9,2882234.0,5.0,2,Sale,Developer
DXB-100431,2026-05-28,Jumeirah,Townhouse,4 BR,143.6,2972876.0,4.0,0,Mortgage,DLD
DXB-101330,2023-06-30,Jumeirah Village Circle,Townhouse,2 BR,177.2,3870991.0,2.0,1,Sale,Broker
DXB-101366,16-Apr-2026,Jumeirah village circle,Apartment,2 BR,99.1,1534107.0,2.0,0,Sale,Developer
DXB-100214,06-Apr-2025,Dubai Silicon Oasis,villa,3 BR,103.3,1245101.0,3.0,1,Sale,DLD
DXB-100707,2023-07-02,Jumeirah,town house,4 BR,46.7,1179434.0,4.0,1,Sale,DLD
DXB-100714,2025-03-05,Arabian Ranches,Townhouse,4 BR,88.6,1627345.0,4.0,1,Mortgage,DLD
DXB-100802,2023-12-15,Deira,Penthouse,2 BR,86.0,"AED 1,277,315",2.0,0,Sale,DLD
DXB-101291,2024-05-22,Bur Dubai,VILLA,3 BR,75.3,1100027.0,3.0,3,Sale,DLD
DXB-100817,2026-07-28,Deira,apartment,Studio,94.1,1074255.0,0.0,2,Sale,Developer
DXB-100266,2023-07-15,Jumeirah,Apartment,2 BR,87.4,2206879.0,2.0,0,Sale,Broker
DXB-101253,2026-08-04,Dubai Hills Estate,Villa,4 BR,137.0,"AED 5,295,368",4.0,1,Mortgage,Developer
